"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestInClass2(1,""a"")","ubuntu-24.04, net8.0, Release","Thu Sep 04 20:38:45 UTC 2025","passed","Thu Sep 04 20:38:45 UTC 2025","","","TestClass2","TestInClass2"
"","4","TestInClass1","ubuntu-22.04, net9.0, Debug","Thu Sep 04 20:38:49 UTC 2025","passed","Thu Sep 04 20:38:49 UTC 2025","","","TestClass1","TestInClass1"
"","5","TestInClass1","ubuntu-24.04, net9.0, Debug","Thu Sep 04 20:39:11 UTC 2025","passed","Thu Sep 04 20:39:11 UTC 2025","","","TestClass1","TestInClass1"
"","1","TestInClass2(2,""b"")","ubuntu-22.04, net8.0, Debug","Thu Sep 04 20:38:47 UTC 2025","passed","Thu Sep 04 20:38:47 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","windows-2025, net9.0, Debug","Thu Sep 04 20:40:31 UTC 2025","passed","Thu Sep 04 20:40:31 UTC 2025","","","TestClass2","TestInClass2"
"","4","TestInClass1","windows-2025, net8.0, Debug","Thu Sep 04 20:39:10 UTC 2025","passed","Thu Sep 04 20:39:10 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","windows-2022, net8.0, Debug","Thu Sep 04 20:39:15 UTC 2025","passed","Thu Sep 04 20:39:15 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","windows-2025, net8.0, Release","Thu Sep 04 20:39:27 UTC 2025","passed","Thu Sep 04 20:39:27 UTC 2025","","","TestClass1","TestInClass1"
"","0","TestInClass2(2,""b"")","windows-2022, net9.0, Release","Thu Sep 04 20:39:04 UTC 2025","passed","Thu Sep 04 20:39:04 UTC 2025","","","TestClass2","TestInClass2"
"","4","TestInClass1","windows-2025, net9.0, Debug","Thu Sep 04 20:40:31 UTC 2025","passed","Thu Sep 04 20:40:31 UTC 2025","","","TestClass1","TestInClass1"
"","0","TestInClass2(1,""a"")","ubuntu-22.04, net9.0, Release","Thu Sep 04 20:38:41 UTC 2025","passed","Thu Sep 04 20:38:41 UTC 2025","","","TestClass2","TestInClass2"
"","1","TestInClass2(2,""b"")","ubuntu-22.04, net9.0, Debug","Thu Sep 04 20:38:49 UTC 2025","passed","Thu Sep 04 20:38:49 UTC 2025","","","TestClass2","TestInClass2"
"","4","TestInClass1","windows-2022, net9.0, Release","Thu Sep 04 20:39:04 UTC 2025","passed","Thu Sep 04 20:39:04 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","windows-2025, net9.0, Release","Thu Sep 04 20:39:06 UTC 2025","passed","Thu Sep 04 20:39:06 UTC 2025","","","TestClass1","TestInClass1"
"","4","TestInClass1","ubuntu-22.04, net9.0, Release","Thu Sep 04 20:38:41 UTC 2025","passed","Thu Sep 04 20:38:41 UTC 2025","","","TestClass1","TestInClass1"
"","0","TestInClass2(1,""a"")","ubuntu-24.04, net9.0, Release","Thu Sep 04 20:38:48 UTC 2025","passed","Thu Sep 04 20:38:48 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-22.04, net8.0, Release","Thu Sep 04 20:38:48 UTC 2025","passed","Thu Sep 04 20:38:48 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","windows-2025, net8.0, Debug","Thu Sep 04 20:39:10 UTC 2025","passed","Thu Sep 04 20:39:10 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-22.04, net8.0, Debug","Thu Sep 04 20:38:47 UTC 2025","passed","Thu Sep 04 20:38:47 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","ubuntu-24.04, net9.0, Debug","Thu Sep 04 20:39:11 UTC 2025","passed","Thu Sep 04 20:39:11 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","ubuntu-24.04, net8.0, Release","Thu Sep 04 20:38:45 UTC 2025","passed","Thu Sep 04 20:38:45 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(1,""a"")","windows-2022, net9.0, Debug","Thu Sep 04 20:39:20 UTC 2025","passed","Thu Sep 04 20:39:20 UTC 2025","","","TestClass2","TestInClass2"
"","5","TestInClass1","windows-2022, net8.0, Release","Thu Sep 04 20:39:08 UTC 2025","passed","Thu Sep 04 20:39:08 UTC 2025","","","TestClass1","TestInClass1"
"","0","TestInClass2(2,""b"")","ubuntu-24.04, net9.0, Release","Thu Sep 04 20:38:48 UTC 2025","passed","Thu Sep 04 20:38:48 UTC 2025","","","TestClass2","TestInClass2"
"","0","TestInClass2(2,""b"")","windows-2022, net8.0, Debug","Thu Sep 04 20:39:15 UTC 2025","passed","Thu Sep 04 20:39:15 UTC 2025","","","TestClass2","TestInClass2"
